Lead ID,Location,College,Year of Study,Program Interest,Lead Source
LD4665,Delhi,XYZ University,4th,AI,Whatsapp
LD4666,Delhi,PQR College,4th,Electric Vehicle,Google Form
LD4667,Surat,XYZ University,4th,Robotics,Whatsapp
LD4668,Pune,DEF Academy,4th,Electric Vehicle,Instagram
LD4669,Ahmedabad,ABC Institute,3rd,Data Science,Mass-Mailing
LD4670,Pune,PQR College,3rd,AI,College Collaboration
LD4671,Mumbai,ABC Institute,3rd,Electric Vehicle,College Collaboration
LD4672,Ahmedabad,XYZ University,2nd,Robotics,Whatsapp
LD4673,Delhi,DEF Academy,3rd,Data Science,Mass-Mailing
LD4674,Surat,PQR College,4th,AI,LinkedIn
LD4675,Delhi,XYZ University,2nd,Robotics,Google Form
LD4676,Pune,ABC Institute,2nd,Data Science,Mass-Mailing
LD4677,Ahmedabad,DEF Academy,1st,AI,Whatsapp
LD4678,Delhi,DEF Academy,4th,Data Science,Mass-Mailing
LD4679,Pune,DEF Academy,2nd,Data Science,Mass-Mailing
LD4680,Surat,DEF Academy,3rd,Electric Vehicle,Mass-Mailing
LD4681,Pune,XYZ University,1st,Robotics,Whatsapp
LD4682,Mumbai,XYZ University,1st,Electric Vehicle,Mass-Mailing
LD4683,Pune,DEF Academy,2nd,Electric Vehicle,LinkedIn
LD4684,Pune,XYZ University,3rd,Data Science,LinkedIn
LD4685,Mumbai,PQR College,4th,Electric Vehicle,College Collaboration
LD4686,Ahmedabad,ABC Institute,2nd,Electric Vehicle,Instagram
LD4687,Pune,ABC Institute,3rd,Electric Vehicle,College Collaboration
LD4688,Pune,XYZ University,3rd,Robotics,Whatsapp
LD4689,Ahmedabad,ABC Institute,4th,Electric Vehicle,LinkedIn
LD4690,Surat,ABC Institute,2nd,Electric Vehicle,Instagram
LD4691,Surat,PQR College,4th,Robotics,Instagram
LD4692,Ahmedabad,ABC Institute,1st,Electric Vehicle,LinkedIn
LD4693,Mumbai,PQR College,1st,Electric Vehicle,Google Form
LD4694,Surat,DEF Academy,1st,AI,Instagram
LD4695,Mumbai,DEF Academy,3rd,AI,Whatsapp
LD4696,Pune,ABC Institute,1st,Robotics,LinkedIn
LD4697,Pune,XYZ University,1st,Robotics,LinkedIn
LD4698,Surat,PQR College,1st,Data Science,College Collaboration
LD4699,Ahmedabad,XYZ University,2nd,Electric Vehicle,Whatsapp
LD4700,Surat,XYZ University,2nd,AI,College Collaboration
LD4701,Ahmedabad,PQR College,3rd,Robotics,Google Form
LD4702,Ahmedabad,PQR College,4th,Robotics,LinkedIn
LD4703,Ahmedabad,XYZ University,2nd,AI,Google Form
LD4704,Surat,DEF Academy,1st,AI,Whatsapp
LD4705,Delhi,XYZ University,3rd,Electric Vehicle,Instagram
LD4706,Surat,DEF Academy,1st,AI,Whatsapp
LD4707,Pune,DEF Academy,3rd,Robotics,LinkedIn
LD4708,Delhi,ABC Institute,3rd,Electric Vehicle,Mass-Mailing
LD4709,Pune,DEF Academy,3rd,Electric Vehicle,College Collaboration
LD4710,Mumbai,ABC Institute,3rd,AI,Whatsapp
LD4711,Pune,XYZ University,4th,Robotics,Instagram
LD4712,Delhi,XYZ University,2nd,Robotics,Instagram
LD4713,Mumbai,XYZ University,4th,AI,Whatsapp
LD4714,Pune,PQR College,2nd,Electric Vehicle,LinkedIn
LD4715,Mumbai,PQR College,2nd,Robotics,LinkedIn
LD4716,Ahmedabad,ABC Institute,2nd,Data Science,Mass-Mailing
LD4717,Mumbai,PQR College,1st,Robotics,LinkedIn
LD4718,Surat,DEF Academy,2nd,Data Science,Instagram
LD4719,Mumbai,ABC Institute,3rd,Data Science,Instagram
LD4720,Surat,XYZ University,2nd,Data Science,LinkedIn
LD4721,Surat,PQR College,4th,Robotics,College Collaboration
LD4722,Delhi,ABC Institute,4th,Data Science,Google Form
LD4723,Delhi,ABC Institute,4th,Data Science,College Collaboration
LD4724,Pune,DEF Academy,3rd,Data Science,Instagram
LD4725,Delhi,DEF Academy,4th,Robotics,Google Form
LD4726,Ahmedabad,PQR College,1st,Data Science,Mass-Mailing
LD4727,Ahmedabad,XYZ University,3rd,Robotics,Whatsapp
LD4728,Surat,DEF Academy,1st,Robotics,Instagram
LD4729,Ahmedabad,XYZ University,1st,Electric Vehicle,LinkedIn
LD4730,Ahmedabad,DEF Academy,3rd,AI,Instagram
LD4731,Surat,XYZ University,1st,Data Science,Google Form
LD4732,Pune,DEF Academy,4th,AI,LinkedIn
LD4733,Delhi,DEF Academy,3rd,AI,LinkedIn
LD4734,Ahmedabad,XYZ University,1st,AI,LinkedIn
LD4735,Delhi,ABC Institute,3rd,AI,Instagram
LD4736,Surat,PQR College,3rd,AI,LinkedIn
LD4737,Ahmedabad,XYZ University,3rd,Electric Vehicle,Mass-Mailing
LD4738,Pune,PQR College,3rd,Data Science,College Collaboration
LD4739,Delhi,XYZ University,3rd,AI,Mass-Mailing
LD4740,Ahmedabad,XYZ University,4th,Robotics,Instagram
LD4741,Delhi,XYZ University,3rd,Data Science,Mass-Mailing
LD4742,Surat,ABC Institute,3rd,Electric Vehicle,College Collaboration
LD4743,Pune,ABC Institute,4th,Robotics,LinkedIn
LD4744,Delhi,PQR College,1st,Data Science,Google Form
LD4745,Surat,DEF Academy,1st,Electric Vehicle,Instagram
LD4746,Pune,ABC Institute,3rd,Robotics,Whatsapp
LD4747,Ahmedabad,ABC Institute,3rd,Data Science,Google Form
LD4748,Pune,DEF Academy,4th,AI,Google Form
LD4749,Surat,XYZ University,2nd,Data Science,Google Form
LD4750,Pune,XYZ University,2nd,Electric Vehicle,Instagram
LD4751,Pune,DEF Academy,1st,Electric Vehicle,LinkedIn
LD4752,Mumbai,PQR College,2nd,Electric Vehicle,College Collaboration
LD4753,Surat,DEF Academy,1st,Robotics,LinkedIn
LD4754,Pune,XYZ University,2nd,Data Science,Mass-Mailing
LD4755,Mumbai,ABC Institute,1st,Robotics,College Collaboration
LD4756,Delhi,PQR College,2nd,Data Science,Instagram
LD4757,Delhi,DEF Academy,4th,Data Science,Whatsapp
LD4758,Mumbai,ABC Institute,2nd,Robotics,College Collaboration
LD4759,Mumbai,PQR College,4th,Robotics,Instagram
LD4760,Pune,DEF Academy,3rd,Data Science,Instagram
LD4761,Mumbai,DEF Academy,1st,Robotics,LinkedIn
LD4762,Mumbai,ABC Institute,4th,AI,Instagram
LD4763,Pune,DEF Academy,4th,Data Science,College Collaboration
LD4764,Surat,PQR College,1st,Robotics,College Collaboration
LD4765,Mumbai,PQR College,1st,AI,College Collaboration
LD4766,Surat,ABC Institute,4th,AI,Instagram
LD4767,Delhi,DEF Academy,2nd,Electric Vehicle,Mass-Mailing
LD4768,Surat,ABC Institute,4th,Robotics,College Collaboration
LD4769,Pune,DEF Academy,2nd,Electric Vehicle,Instagram
LD4770,Ahmedabad,PQR College,2nd,Data Science,College Collaboration
LD4771,Ahmedabad,PQR College,1st,Robotics,LinkedIn
LD4772,Pune,DEF Academy,4th,Data Science,Whatsapp
LD4773,Ahmedabad,PQR College,2nd,Robotics,College Collaboration
LD4774,Mumbai,PQR College,1st,Robotics,Instagram
LD4775,Pune,PQR College,1st,AI,College Collaboration
LD4776,Delhi,XYZ University,4th,Robotics,Instagram
LD4777,Mumbai,ABC Institute,1st,Data Science,College Collaboration
LD4778,Surat,ABC Institute,3rd,Data Science,Mass-Mailing
LD4779,Surat,PQR College,1st,Robotics,LinkedIn
LD4780,Pune,PQR College,4th,Electric Vehicle,LinkedIn
LD4781,Surat,PQR College,3rd,Data Science,Google Form
LD4782,Mumbai,DEF Academy,4th,AI,Mass-Mailing
LD4783,Mumbai,XYZ University,4th,AI,LinkedIn
LD4784,Pune,PQR College,3rd,Robotics,Whatsapp
LD4785,Delhi,PQR College,4th,Data Science,Instagram
LD4786,Ahmedabad,DEF Academy,4th,AI,Whatsapp
LD4787,Delhi,XYZ University,4th,Robotics,Whatsapp
LD4788,Delhi,DEF Academy,2nd,Data Science,Whatsapp
LD4789,Ahmedabad,XYZ University,4th,Electric Vehicle,LinkedIn
LD4790,Ahmedabad,DEF Academy,1st,Electric Vehicle,Whatsapp
LD4791,Mumbai,PQR College,1st,Data Science,College Collaboration
LD4792,Surat,XYZ University,2nd,AI,Mass-Mailing
LD4793,Delhi,PQR College,1st,AI,Instagram
LD4794,Mumbai,DEF Academy,2nd,Data Science,Google Form
LD4795,Ahmedabad,DEF Academy,1st,Robotics,LinkedIn
LD4796,Delhi,XYZ University,2nd,AI,College Collaboration
LD4797,Pune,ABC Institute,4th,AI,Whatsapp
LD4798,Delhi,PQR College,4th,Robotics,Google Form
LD4799,Pune,PQR College,3rd,AI,Google Form
LD4800,Ahmedabad,XYZ University,4th,AI,Google Form
LD4801,Ahmedabad,PQR College,3rd,AI,Instagram
LD4802,Pune,ABC Institute,2nd,Data Science,Whatsapp
LD4803,Pune,DEF Academy,4th,Electric Vehicle,Instagram
LD4804,Surat,ABC Institute,1st,Robotics,Whatsapp
LD4805,Ahmedabad,PQR College,3rd,Robotics,Instagram
LD4806,Pune,DEF Academy,3rd,Data Science,Mass-Mailing
LD4807,Pune,ABC Institute,2nd,Electric Vehicle,Mass-Mailing
LD4808,Mumbai,DEF Academy,2nd,Robotics,Mass-Mailing
LD4809,Surat,ABC Institute,1st,Robotics,Mass-Mailing
LD4810,Ahmedabad,PQR College,2nd,Data Science,Whatsapp
LD4811,Ahmedabad,ABC Institute,2nd,Data Science,Google Form
LD4812,Mumbai,ABC Institute,4th,AI,College Collaboration
LD4813,Ahmedabad,DEF Academy,3rd,Data Science,Google Form
LD4814,Surat,PQR College,3rd,Robotics,Whatsapp
LD4815,Pune,DEF Academy,4th,Electric Vehicle,Instagram
LD4816,Ahmedabad,XYZ University,3rd,Robotics,Instagram
LD4817,Mumbai,XYZ University,4th,AI,Mass-Mailing
LD4818,Delhi,PQR College,3rd,Electric Vehicle,LinkedIn
LD4819,Ahmedabad,XYZ University,1st,Robotics,LinkedIn
LD4820,Delhi,ABC Institute,4th,Electric Vehicle,Google Form
LD4821,Ahmedabad,XYZ University,2nd,AI,LinkedIn
LD4822,Delhi,PQR College,3rd,AI,College Collaboration
LD4823,Delhi,ABC Institute,3rd,AI,Instagram
LD4824,Delhi,XYZ University,2nd,Data Science,LinkedIn
LD4825,Delhi,XYZ University,1st,Electric Vehicle,Instagram
LD4826,Pune,DEF Academy,1st,Electric Vehicle,Whatsapp
LD4827,Pune,DEF Academy,3rd,AI,College Collaboration
LD4828,Surat,XYZ University,4th,Electric Vehicle,Whatsapp
LD4829,Pune,DEF Academy,1st,Data Science,LinkedIn
LD4830,Surat,ABC Institute,3rd,AI,Instagram
LD4831,Delhi,DEF Academy,3rd,Robotics,LinkedIn
LD4832,Ahmedabad,XYZ University,2nd,Electric Vehicle,Google Form
LD4833,Delhi,ABC Institute,2nd,Robotics,Whatsapp
LD4834,Ahmedabad,DEF Academy,1st,Robotics,College Collaboration
LD4835,Mumbai,PQR College,1st,Robotics,Mass-Mailing
LD4836,Ahmedabad,XYZ University,1st,AI,Whatsapp
LD4837,Pune,ABC Institute,3rd,Robotics,Whatsapp
LD4838,Mumbai,XYZ University,1st,Robotics,College Collaboration
LD4839,Mumbai,ABC Institute,2nd,Electric Vehicle,Instagram
LD4840,Ahmedabad,ABC Institute,3rd,Robotics,LinkedIn
LD4841,Mumbai,DEF Academy,4th,Data Science,College Collaboration
LD4842,Mumbai,XYZ University,2nd,AI,Whatsapp
LD4843,Surat,DEF Academy,1st,Data Science,Mass-Mailing
LD4844,Surat,DEF Academy,4th,Robotics,Google Form
LD4845,Mumbai,PQR College,3rd,Data Science,Mass-Mailing
LD4846,Delhi,PQR College,4th,Electric Vehicle,Google Form
LD4847,Delhi,DEF Academy,4th,Data Science,LinkedIn
LD4848,Mumbai,DEF Academy,2nd,Electric Vehicle,Google Form
LD4849,Pune,XYZ University,1st,Data Science,Google Form
LD4850,Ahmedabad,DEF Academy,1st,Electric Vehicle,Whatsapp
LD4851,Ahmedabad,DEF Academy,1st,AI,Mass-Mailing
LD4852,Surat,DEF Academy,2nd,Robotics,Whatsapp
LD4853,Mumbai,XYZ University,3rd,Robotics,Google Form
LD4854,Pune,PQR College,2nd,Robotics,Google Form
LD4855,Delhi,DEF Academy,1st,Electric Vehicle,Whatsapp
LD4856,Surat,ABC Institute,1st,Robotics,College Collaboration
LD4857,Surat,XYZ University,4th,Robotics,Instagram
LD4858,Delhi,PQR College,1st,Electric Vehicle,Mass-Mailing
LD4859,Surat,XYZ University,3rd,Data Science,Instagram
LD4860,Surat,XYZ University,3rd,Robotics,LinkedIn
LD4861,Mumbai,ABC Institute,3rd,Data Science,LinkedIn
LD4862,Pune,XYZ University,1st,Data Science,LinkedIn
LD4863,Delhi,ABC Institute,4th,Electric Vehicle,Google Form
LD4864,Pune,ABC Institute,3rd,Data Science,Google Form
LD4865,Pune,PQR College,3rd,Electric Vehicle,LinkedIn
LD4866,Delhi,XYZ University,2nd,Data Science,College Collaboration
LD4867,Ahmedabad,ABC Institute,2nd,Data Science,LinkedIn
LD4868,Ahmedabad,ABC Institute,1st,AI,Google Form
LD4869,Pune,PQR College,4th,AI,Google Form
LD4870,Ahmedabad,PQR College,2nd,Robotics,LinkedIn
LD4871,Surat,PQR College,1st,Robotics,LinkedIn
LD4872,Ahmedabad,PQR College,3rd,Electric Vehicle,LinkedIn
LD4873,Pune,DEF Academy,1st,Data Science,Google Form
LD4874,Ahmedabad,DEF Academy,1st,Data Science,College Collaboration
LD4875,Surat,ABC Institute,4th,AI,Instagram
LD4876,Mumbai,XYZ University,2nd,AI,Mass-Mailing
LD4877,Surat,XYZ University,1st,AI,LinkedIn
LD4878,Surat,DEF Academy,2nd,Robotics,College Collaboration
LD4879,Pune,XYZ University,2nd,Electric Vehicle,Google Form
LD4880,Ahmedabad,XYZ University,2nd,Electric Vehicle,Instagram
LD4881,Mumbai,DEF Academy,1st,Data Science,Instagram
LD4882,Delhi,ABC Institute,4th,Robotics,Whatsapp
LD4883,Delhi,ABC Institute,4th,Robotics,Whatsapp
LD4884,Pune,ABC Institute,4th,Data Science,Google Form
LD4885,Surat,DEF Academy,1st,Data Science,Google Form
LD4886,Delhi,PQR College,3rd,AI,Google Form
LD4887,Mumbai,ABC Institute,2nd,Robotics,Google Form
LD4888,Ahmedabad,ABC Institute,4th,Robotics,Whatsapp
LD4889,Mumbai,ABC Institute,1st,Data Science,Instagram
LD4890,Delhi,XYZ University,4th,AI,LinkedIn
LD4891,Delhi,XYZ University,2nd,Robotics,Mass-Mailing
LD4892,Ahmedabad,ABC Institute,1st,AI,Google Form
LD4893,Ahmedabad,XYZ University,4th,Data Science,Google Form
LD4894,Surat,XYZ University,3rd,AI,Whatsapp
LD4895,Surat,DEF Academy,1st,Electric Vehicle,Whatsapp
LD4896,Pune,XYZ University,1st,AI,Whatsapp
LD4897,Surat,DEF Academy,1st,Electric Vehicle,Google Form
LD4898,Mumbai,DEF Academy,4th,Robotics,Google Form
LD4899,Delhi,XYZ University,1st,Data Science,Mass-Mailing
LD4900,Surat,PQR College,3rd,Electric Vehicle,LinkedIn
LD4901,Delhi,XYZ University,3rd,Data Science,College Collaboration
LD4902,Mumbai,XYZ University,2nd,Data Science,Mass-Mailing
LD4903,Pune,PQR College,2nd,Data Science,Google Form
LD4904,Mumbai,DEF Academy,1st,Electric Vehicle,Mass-Mailing
LD4905,Pune,DEF Academy,4th,Robotics,Instagram
LD4906,Ahmedabad,DEF Academy,3rd,Robotics,Mass-Mailing
LD4907,Ahmedabad,ABC Institute,1st,AI,Instagram
LD4908,Mumbai,DEF Academy,2nd,AI,LinkedIn
LD4909,Delhi,PQR College,3rd,AI,LinkedIn
LD4910,Ahmedabad,ABC Institute,1st,Robotics,Google Form
LD4911,Ahmedabad,XYZ University,2nd,AI,Google Form
LD4912,Delhi,PQR College,1st,AI,Google Form
LD4913,Delhi,PQR College,2nd,Robotics,LinkedIn
LD4914,Pune,ABC Institute,1st,Robotics,Whatsapp
LD4915,Delhi,ABC Institute,1st,Robotics,Instagram
LD4916,Ahmedabad,XYZ University,2nd,Robotics,Mass-Mailing
LD4917,Pune,ABC Institute,4th,AI,Instagram
LD4918,Pune,ABC Institute,4th,Data Science,Instagram
LD4919,Delhi,PQR College,2nd,AI,Whatsapp
LD4920,Ahmedabad,XYZ University,3rd,Robotics,Whatsapp
LD4921,Ahmedabad,ABC Institute,2nd,Robotics,LinkedIn
LD4922,Mumbai,PQR College,3rd,AI,College Collaboration
LD4923,Surat,XYZ University,1st,Data Science,Instagram
LD4924,Pune,PQR College,1st,AI,Whatsapp
LD4925,Ahmedabad,PQR College,4th,AI,Instagram
LD4926,Ahmedabad,DEF Academy,2nd,Robotics,Mass-Mailing
LD4927,Delhi,PQR College,1st,Electric Vehicle,Google Form
LD4928,Surat,DEF Academy,4th,Electric Vehicle,LinkedIn
LD4929,Ahmedabad,PQR College,4th,Robotics,Whatsapp
LD4930,Pune,DEF Academy,1st,Electric Vehicle,Whatsapp
LD4931,Pune,PQR College,3rd,AI,Mass-Mailing
LD4932,Delhi,XYZ University,1st,Electric Vehicle,Instagram
LD4933,Ahmedabad,DEF Academy,4th,Electric Vehicle,LinkedIn
LD4934,Mumbai,DEF Academy,4th,Robotics,Whatsapp
LD4935,Pune,XYZ University,2nd,Data Science,Instagram
LD4936,Pune,XYZ University,1st,AI,LinkedIn
LD4937,Surat,DEF Academy,4th,Robotics,Instagram
LD4938,Pune,ABC Institute,4th,AI,College Collaboration
LD4939,Mumbai,DEF Academy,2nd,Data Science,LinkedIn
LD4940,Ahmedabad,PQR College,1st,Electric Vehicle,Google Form
LD4941,Delhi,DEF Academy,2nd,Electric Vehicle,Mass-Mailing
LD4942,Pune,XYZ University,4th,Electric Vehicle,Instagram
LD4943,Ahmedabad,DEF Academy,3rd,Electric Vehicle,Mass-Mailing
LD4944,Pune,XYZ University,1st,AI,College Collaboration
LD4945,Surat,PQR College,1st,AI,LinkedIn
LD4946,Delhi,ABC Institute,2nd,Robotics,LinkedIn
LD4947,Mumbai,DEF Academy,2nd,Electric Vehicle,Google Form
LD4948,Surat,XYZ University,4th,Robotics,Whatsapp
LD4949,Mumbai,DEF Academy,4th,Electric Vehicle,LinkedIn
LD4950,Delhi,DEF Academy,4th,AI,Google Form
LD4951,Ahmedabad,PQR College,4th,Data Science,College Collaboration
LD4952,Mumbai,ABC Institute,1st,Robotics,Google Form
LD4953,Ahmedabad,ABC Institute,4th,AI,Whatsapp
LD4954,Delhi,DEF Academy,4th,Robotics,Instagram
LD4955,Delhi,PQR College,4th,AI,Instagram
LD4956,Ahmedabad,PQR College,1st,Electric Vehicle,Google Form
LD4957,Ahmedabad,DEF Academy,4th,Data Science,Instagram
LD4958,Pune,XYZ University,4th,Robotics,LinkedIn
LD4959,Ahmedabad,XYZ University,3rd,Electric Vehicle,LinkedIn
LD4960,Delhi,XYZ University,4th,AI,Instagram
LD4961,Ahmedabad,XYZ University,3rd,Robotics,LinkedIn
LD4962,Ahmedabad,ABC Institute,1st,AI,LinkedIn
LD4963,Mumbai,DEF Academy,1st,Robotics,Mass-Mailing
LD4964,Ahmedabad,XYZ University,1st,Electric Vehicle,Mass-Mailing
LD4965,Pune,PQR College,4th,Robotics,Instagram
LD4966,Pune,DEF Academy,2nd,Robotics,Google Form
LD4967,Ahmedabad,DEF Academy,4th,Robotics,Instagram
LD4968,Pune,PQR College,4th,Data Science,Whatsapp
LD4969,Delhi,ABC Institute,1st,Robotics,Whatsapp
LD4970,Ahmedabad,XYZ University,1st,AI,Instagram
LD4971,Pune,PQR College,3rd,Electric Vehicle,LinkedIn
LD4972,Ahmedabad,ABC Institute,2nd,Electric Vehicle,Whatsapp
LD4973,Mumbai,DEF Academy,2nd,Robotics,College Collaboration
LD4974,Pune,XYZ University,2nd,Robotics,Mass-Mailing
LD4975,Ahmedabad,ABC Institute,2nd,Robotics,Whatsapp
LD4976,Ahmedabad,XYZ University,2nd,AI,Whatsapp
LD4977,Surat,PQR College,4th,Robotics,Whatsapp
LD4978,Mumbai,PQR College,2nd,Electric Vehicle,Google Form
LD4979,Mumbai,XYZ University,4th,Robotics,College Collaboration
LD4980,Mumbai,XYZ University,2nd,Electric Vehicle,LinkedIn
LD4981,Delhi,XYZ University,3rd,Data Science,Instagram
LD4982,Ahmedabad,PQR College,4th,AI,Mass-Mailing
LD4983,Delhi,ABC Institute,2nd,AI,LinkedIn
LD4984,Surat,DEF Academy,2nd,Robotics,College Collaboration
LD4985,Delhi,ABC Institute,4th,AI,Instagram
LD4986,Mumbai,XYZ University,2nd,Data Science,Whatsapp
LD4987,Mumbai,XYZ University,4th,Electric Vehicle,College Collaboration
LD4988,Delhi,PQR College,4th,Data Science,Whatsapp
LD4989,Mumbai,XYZ University,4th,Robotics,College Collaboration
LD4990,Surat,DEF Academy,3rd,Electric Vehicle,LinkedIn
LD4991,Pune,DEF Academy,2nd,AI,LinkedIn
LD4992,Surat,XYZ University,4th,Robotics,LinkedIn
LD4993,Pune,PQR College,1st,AI,Whatsapp
LD4994,Mumbai,PQR College,1st,AI,Instagram
LD4995,Pune,ABC Institute,1st,AI,LinkedIn
LD4996,Mumbai,ABC Institute,1st,AI,Instagram
LD4997,Pune,ABC Institute,1st,Data Science,Whatsapp
LD4998,Delhi,PQR College,3rd,Robotics,Instagram
LD4999,Delhi,PQR College,4th,Data Science,Instagram
LD5000,Delhi,PQR College,1st,Data Science,LinkedIn
LD5001,Delhi,ABC Institute,2nd,Electric Vehicle,College Collaboration
LD5002,Delhi,XYZ University,4th,Data Science,Mass-Mailing
LD5003,Ahmedabad,XYZ University,3rd,AI,Mass-Mailing
LD5004,Surat,ABC Institute,4th,AI,LinkedIn
LD5005,Ahmedabad,DEF Academy,3rd,AI,Mass-Mailing
LD5006,Pune,PQR College,4th,Electric Vehicle,Google Form
LD5007,Ahmedabad,ABC Institute,3rd,AI,Instagram
LD5008,Delhi,XYZ University,3rd,AI,College Collaboration
LD5009,Surat,PQR College,1st,AI,Google Form
LD5010,Mumbai,XYZ University,3rd,Data Science,Mass-Mailing
LD5011,Ahmedabad,XYZ University,3rd,AI,College Collaboration
LD5012,Pune,DEF Academy,1st,Robotics,Instagram
LD5013,Mumbai,PQR College,3rd,Electric Vehicle,LinkedIn
LD5014,Pune,ABC Institute,1st,Electric Vehicle,Whatsapp
LD5015,Mumbai,XYZ University,2nd,Data Science,LinkedIn
LD5016,Delhi,XYZ University,4th,Data Science,Instagram
LD5017,Surat,XYZ University,1st,Data Science,LinkedIn
LD5018,Ahmedabad,XYZ University,2nd,Electric Vehicle,Instagram
LD5019,Ahmedabad,ABC Institute,1st,Data Science,College Collaboration
LD5020,Mumbai,ABC Institute,4th,Robotics,LinkedIn
LD5021,Ahmedabad,XYZ University,1st,Robotics,Instagram
LD5022,Mumbai,XYZ University,3rd,Data Science,College Collaboration
LD5023,Pune,DEF Academy,2nd,AI,Instagram
LD5024,Delhi,ABC Institute,2nd,Robotics,Instagram
LD5025,Surat,XYZ University,4th,Electric Vehicle,Instagram
LD5026,Pune,PQR College,1st,Electric Vehicle,Instagram
LD5027,Delhi,DEF Academy,1st,Electric Vehicle,Whatsapp
LD5028,Delhi,DEF Academy,1st,Data Science,Mass-Mailing
LD5029,Surat,PQR College,2nd,AI,Instagram
LD5030,Mumbai,XYZ University,3rd,AI,Whatsapp
LD5031,Pune,ABC Institute,4th,Electric Vehicle,LinkedIn
LD5032,Pune,ABC Institute,2nd,Robotics,College Collaboration
LD5033,Mumbai,XYZ University,1st,Robotics,LinkedIn
LD5034,Mumbai,DEF Academy,2nd,Data Science,Whatsapp
LD5035,Mumbai,DEF Academy,4th,AI,Whatsapp
LD5036,Mumbai,ABC Institute,4th,Electric Vehicle,Instagram
LD5037,Ahmedabad,XYZ University,2nd,Data Science,Mass-Mailing
LD5038,Surat,PQR College,2nd,Data Science,Google Form
LD5039,Delhi,DEF Academy,2nd,Data Science,Mass-Mailing
LD5040,Ahmedabad,ABC Institute,4th,Electric Vehicle,College Collaboration
LD5041,Mumbai,DEF Academy,4th,Electric Vehicle,College Collaboration
LD5042,Ahmedabad,XYZ University,4th,Robotics,College Collaboration
LD5043,Pune,PQR College,1st,Electric Vehicle,Mass-Mailing
LD5044,Surat,PQR College,3rd,AI,Whatsapp
LD5045,Delhi,PQR College,2nd,Data Science,Whatsapp
LD5046,Mumbai,ABC Institute,3rd,Robotics,Instagram
LD5047,Ahmedabad,XYZ University,3rd,Data Science,Mass-Mailing
LD5048,Pune,DEF Academy,2nd,Electric Vehicle,Mass-Mailing
LD5049,Mumbai,DEF Academy,3rd,Data Science,Mass-Mailing
LD5050,Mumbai,XYZ University,1st,Electric Vehicle,Google Form
LD5051,Surat,ABC Institute,3rd,AI,Whatsapp
LD5052,Pune,PQR College,1st,Robotics,College Collaboration
LD5053,Delhi,ABC Institute,1st,AI,Mass-Mailing
LD5054,Surat,XYZ University,2nd,Electric Vehicle,Whatsapp
LD5055,Pune,DEF Academy,1st,Robotics,Google Form
LD5056,Delhi,PQR College,3rd,Electric Vehicle,Mass-Mailing
LD5057,Surat,PQR College,3rd,Data Science,Instagram
LD5058,Ahmedabad,PQR College,2nd,Robotics,Mass-Mailing
LD5059,Surat,ABC Institute,3rd,AI,Google Form
LD5060,Surat,DEF Academy,3rd,Robotics,Mass-Mailing
LD5061,Ahmedabad,DEF Academy,2nd,Data Science,Google Form
LD5062,Delhi,ABC Institute,2nd,Robotics,Whatsapp
LD5063,Delhi,ABC Institute,1st,AI,Instagram
LD5064,Delhi,PQR College,1st,Data Science,Mass-Mailing
LD5065,Pune,DEF Academy,4th,Data Science,Mass-Mailing
LD5066,Pune,PQR College,1st,AI,Instagram
LD5067,Pune,PQR College,1st,Robotics,Google Form
LD5068,Mumbai,XYZ University,3rd,Electric Vehicle,College Collaboration
LD5069,Delhi,ABC Institute,1st,Data Science,Mass-Mailing
LD5070,Surat,DEF Academy,1st,AI,Google Form
LD5071,Ahmedabad,PQR College,1st,Robotics,Instagram
LD5072,Pune,XYZ University,2nd,Robotics,LinkedIn
LD5073,Pune,DEF Academy,1st,AI,College Collaboration
LD5074,Delhi,DEF Academy,3rd,Electric Vehicle,Instagram
LD5075,Delhi,DEF Academy,3rd,AI,LinkedIn
LD5076,Ahmedabad,ABC Institute,3rd,Data Science,College Collaboration
LD5077,Pune,DEF Academy,1st,AI,Whatsapp
LD5078,Mumbai,DEF Academy,1st,Data Science,LinkedIn
LD5079,Ahmedabad,XYZ University,4th,AI,Instagram
LD5080,Ahmedabad,ABC Institute,2nd,AI,Google Form
LD5081,Pune,PQR College,3rd,Electric Vehicle,Mass-Mailing
LD5082,Ahmedabad,PQR College,2nd,Data Science,Google Form
LD5083,Delhi,PQR College,1st,Electric Vehicle,Mass-Mailing
LD5084,Delhi,XYZ University,3rd,Electric Vehicle,Whatsapp
LD5085,Ahmedabad,XYZ University,1st,Robotics,Google Form
LD5086,Surat,XYZ University,4th,Electric Vehicle,Instagram
LD5087,Mumbai,XYZ University,1st,Robotics,Instagram
LD5088,Pune,PQR College,3rd,Robotics,Instagram
LD5089,Surat,XYZ University,1st,Data Science,Mass-Mailing
LD5090,Delhi,DEF Academy,2nd,Data Science,LinkedIn
LD5091,Ahmedabad,ABC Institute,3rd,Data Science,LinkedIn
LD5092,Delhi,PQR College,2nd,Robotics,Mass-Mailing
LD5093,Delhi,PQR College,1st,Electric Vehicle,Whatsapp
LD5094,Pune,DEF Academy,4th,AI,Google Form
LD5095,Surat,XYZ University,4th,Electric Vehicle,Instagram
LD5096,Surat,XYZ University,1st,AI,LinkedIn
LD5097,Pune,XYZ University,3rd,Electric Vehicle,LinkedIn
LD5098,Delhi,ABC Institute,1st,Data Science,College Collaboration
